Product Code/SKU,Cost Price,Selling Price
169687,9945.0,11936.75
153441,7650.0,9297.5
137458,3060.0,4019.0
169695,8840.0,10666.0
169698,10710.0,12816.5
169685,9945.0,11936.75
169699,7310.0,8906.5
169692,8840.0,10666.0
149117,6120.0,7538.0
161217,5950.0,7342.5
173635,8500.0,10275.0
161222,7820.0,9493.0
173655,5525.0,6853.75
173606,12750.0,15162.5
169669,7267.5,8857.625
153442,6885.0,8417.75
148972,7650.0,9297.5
171111,12750.0,15162.5
173625,12750.0,15162.5
169680,6120.0,7538.0
171120,12750.0,15162.5
173634,8500.0,10275.0
173608,10200.0,12230.0
169683,5015.0,6267.25
171107,12750.0,15162.5
173611,8925.0,10763.75
173624,12750.0,15162.5
173619,12750.0,15162.5
148994,8075.0,9786.25
153417,6800.0,8320.0
161255,8032.5,9737.375
146392,7650.0,9297.5
173609,10200.0,12230.0
169681,5015.0,6267.25
169686,9945.0,11936.75
146287,5100.0,6365.0
169635,9945.0,11936.75
171114,10200.0,12230.0
148968,3400.0,4410.0
154759,5950.0,7342.5
170725,4590.0,5778.5
170848,8075.0,9786.25
147402,4930.0,6169.5
169634,8415.0,10177.25
169701,9945.0,11936.75
169640,8415.0,10177.25
177578,5950.0,7342.5
171635,5737.5,7098.125
153423,6120.0,7538.0
170723,3485.0,4507.75
169688,5015.0,6267.25
153430,9605.0,11545.75
169638,8415.0,10177.25
170981,9180.0,11057.0
148333,5355.0,6658.25
170728,3400.0,4410.0
173868,5610.0,6951.5
171632,9180.0,11057.0
171633,5950.0,7342.5
161236,8032.5,9737.375
147401,4930.0,6169.5
152815,3825.0,4898.75
149118,5100.0,6365.0
171109,11900.0,14185.0
170841,8840.0,10666.0
171640,5525.0,6853.75
169672,14450.0,17117.5
169649,14450.0,17117.5
174806,6800.0,8320.0
177535,5100.0,6365.0
169671,14450.0,17117.5
89268,4760.0,5974.0
170727,4250.0,5387.5
171101,9180.0,11057.0
177534,5950.0,7342.5
170986,9180.0,11057.0
146311,5100.0,6365.0
169753,10710.0,12816.5
173618,12750.0,15162.5
137850,5525.0,6853.75
171641,5737.5,7098.125
169676,6120.0,7538.0
169691,9180.0,11057.0
178008,9945.0,11936.75
169666,6120.0,7538.0
169650,14450.0,17117.5
171634,5737.5,7098.125
171643,6502.5,7977.875
169658,8415.0,10177.25
155364,9265.0,11154.75
173869,5100.0,6365.0
171637,6502.5,7977.875
171631,6885.0,8417.75
170712,3400.0,4410.0
169677,6120.0,7538.0
169694,6120.0,7538.0
170715,3485.0,4507.75
173867,3825.0,4898.75
171629,5270.0,6560.5
155327,10540.0,12621.0
169689,4590.0,5778.5
